,sample,male_gonads,female_gonads,male_legs,female_legs,sex,tissue
1,BGM_F_G_RNA10,0,1,0,0,1,1
2,BGM_F_L_RNA10,0,0,0,1,1,0
3,BGM_F_G_RNA12,0,1,0,0,1,1
4,BGM_F_L_RNA12,0,0,0,1,1,0
5,BGM_F_G_RNA14,0,1,0,0,1,1
6,BGM_F_L_RNA14,0,0,0,1,1,0
7,BGM_F_G_RNA15,0,1,0,0,1,1
8,BGM_F_L_RNA15,0,0,0,1,1,0
9,BGM_F_G_RNA17,0,1,0,0,1,1
10,BGM_F_L_RNA17,0,0,0,1,1,0
11,BGM_F_G_RNA19,0,1,0,0,1,1
12,BGM_F_L_RNA19,0,0,0,1,1,0
13,BGM_M_G_RNA04,1,0,0,0,0,1
14,BGM_M_L_RNA04,0,0,1,0,0,0
15,BGM_M_G_RNA06,1,0,0,0,0,1
16,BGM_M_L_RNA06,0,0,1,0,0,0
17,BGM_M_G_RNA08,1,0,0,0,0,1
18,BGM_M_L_RNA08,0,0,1,0,0,0
19,BGM_M_G_RNA20,1,0,0,0,0,1
20,BGM_M_L_RNA20,0,0,1,0,0,0
21,BGM_M_G_RNA21,1,0,0,0,0,1
22,BGM_M_L_RNA21,0,0,1,0,0,0
23,BGM_M_G_RNA22,1,0,0,0,0,1
24,BGM_M_L_RNA22,0,0,1,0,0,0
